,"count","mean","std","min",25%,50%,75%,"max"
Total Amount Funded0,44889.0,11217.436899908664,7375.850782038724,500.0,5600.0,10000.0,15000.0,35000.0
Total Amount Funded1,3281.0,10490.97836025602,6904.788882730613,500.0,5000.0,9000.0,15000.0,35000.0
Total Amount Funded,"count","mean","std","min",25%,50%,75%,"max"
Loan Length0,44889.0,42.05493550758538,10.423944972421104,36.0,36.0,36.0,60.0,60.0
Loan Length1,3281.0,41.3398354160317,9.98361589987894,36.0,36.0,36.0,36.0,60.0
Loan Length,"count","mean","std","min",25%,50%,75%,max
Monthly PAYMENT0,44889.0,335.09168081267734,216.48873448173777,15.67,171.43,291.8,448.63,1337.76
Monthly PAYMENT1,3281.0,327.7733099664738,217.15894807303505,15.91,165.55,275.81,453.08,1302.69
Monthly PAYMENT,"count","mean","std","min",25%,50%,75%,"max"
Debt-To-Income Ratio0,44889.0,13.385673327541305,6.656298840229349,0.0,8.3,13.46,18.62,29.99
Debt-To-Income Ratio1,3281.0,13.529698262724786,6.75306366790876,0.0,8.51,13.9,18.9,29.96
Debt-To-Income Ratio,"count","mean","std","min",25%,50%,75%,"max"
Monthly Income0,44889.0,5841.7843126377875,5613.37543976244,-0.08,3416.67,5000.0,6983.33,500000.0
Monthly Income1,3281.0,5371.645793965263,4735.582748944895,166.67,3000.0,4375.0,6250.0,70000.0
Monthly Income,"count","mean",std,"min",25%,50%,75%,"max"
Approx. Fico Score0,"44889.0","716.8541736282831","36.00126281861846","650.0","695.0","695.0","732.0","790.0"
Approx. Fico Score1,"3281.0","701.8079853703139","32.83633208059508","650.0","669.0","695.0","732.0","790.0"
Approx. Fico Score,"count","mean","std","min",25%,50%,75%,max
Open CREDIT Lines0,44889.0,9.395575753525362,4.401683366845185,1.0,6.0,9.0,12.0,46.0
Open CREDIT Lines1,3281.0,9.194148125571472,4.946646056525556,1.0,6.0,8.0,12.0,47.0
Open CREDIT Lines,"count","mean","std","min",25%,50%,75%,"max"
Total CREDIT Lines0,44889.0,22.19227427654882,11.384137621885227,1.0,14.0,21.0,29.0,90.0
Total CREDIT Lines1,3281.0,21.22858884486437,12.32950257099929,1.0,12.0,19.0,29.0,70.0
Total CREDIT Lines,"count","mean",std,"min",25%,50%,75%,"max"
Revolving CREDIT Balance0,44889.0,14182.206509389829,19599.997520638193,0.0,4010.0,9285.0,17491.0,952013.0
Revolving CREDIT Balance1,3281.0,16843.3486741847,36309.07947163037,0.0,3164.0,8453.0,18316.0,1207359.0
Revolving CREDIT Balance,"count","mean","std","min",25%,50%,75%,"max"
Inquiries in the Last 6 Months0,44889.0,"0.9881039898416093","1.3606452664588633",0.0,0.0,1.0,2.0,31.0
Inquiries in the Last 6 Months1,3281.0,"1.8997256933861628","2.3851682044999274",0.0,0.0,1.0,3.0,33.0
Inquiries in the Last 6 Months,"count","mean","std","min",25%,50%,75%,max
Accounts Now Delinquent0,44889.0,"8.910869032502395e-05",0.009439424501697533,0.0,0.0,0.0,0.0,1.0
Accounts Now Delinquent1,3281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Accounts Now Delinquent,"count","mean","std","min","25%",50%,75%,"max"
Delinquencies (Last 2 yrs)0,44889.0,0.1438437033571699,"0.4959783281925474",0.0,0.0,0.0,0.0,13.0
Delinquencies (Last 2 yrs)1,"3281.0","0.1950624809509296",0.5908757484093785,0.0,0.0,0.0,0.0,8.0
Delinquencies (Last 2 yrs),"count","mean","std","min",25%,50%,75%,max
Public Records On File0,44889.0,0.05146026866270133,0.2322435374144229,0.0,0.0,0.0,0.0,5.0
Public Records On File1,3281.0,0.09844559585492228,0.3070324486996893,0.0,0.0,0.0,0.0,3.0
Public Records On File,"count","mean","std","min",25%,50%,75%,"max"
Employment Length0,43667.0,5.012618224288365,3.5621435349274857,0.0,2.0,4.0,9.0,10.0
Employment Length1,3181.0,4.6325055014146495,3.6200611087632897,0.0,1.0,4.0,8.0,10.0
Employment Length